#==================================================================
# OMERE 5.6.1.30196 - Orbit
#
# File: C:\Users\giorg\Documents\OMERE 5.6\orbit.dat
# Creation: 13/01/2025 03:11:53
#==================================================================

# Number of segment(s) in the mission: 1

#*************************************************************
# Segment : 1/1
#*************************************************************
# Name :                                AEOLUS Orbit
# Duration :                            5 year(s)
# Perigee :                             320.000000km
# Apogee :                              320.000000km
# Inclination :                         97.000°
# Argument of Perigee :                 0.000°
# Longitude of Ascending node :         0.000°
# (with respect to Greenwich)
# True Anomaly :                        0.000°
# Period :                              5455.596s
# Number of orbits :                    100
# Number of points per orbit :          100


#      altitude      latitude     longitude         time
#          (km)           (°)           (°)          (s)
    320.000000         0.000         0.000           0.0
    320.082707         3.569        -0.666          54.6
    320.329534         7.137        -1.335         109.1
    320.736617        10.705        -2.012         163.7
    321.297582        14.272        -2.699         218.2
    322.003645        17.838        -3.401         272.8
    322.843745        21.403        -4.122         327.4
    323.804717        24.967        -4.868         381.9
    324.871496        28.529        -5.645         436.5
    326.027351        32.088        -6.461         491.1
    327.254142        35.645        -7.324         545.6
    328.532608        39.197        -8.247         600.2
    329.842662        42.746        -9.244         654.7
    331.163712        46.288       -10.334         709.3
    332.474975        49.823       -11.543         763.9
    333.755815        53.348       -12.908         818.4
    334.986059        56.861       -14.477         873.0
    336.146320        60.356       -16.324         927.5
    337.218304        63.827       -18.559         982.1
    338.185100        67.262       -21.355        1036.7
    339.031449        70.643       -25.003        1091.2
    339.743987        73.934       -30.009        1145.8
    340.311459        77.067       -37.324        1200.4
    340.724899        79.895       -48.774        1254.9
    340.977774        82.081       -67.433        1309.5
    341.066085        82.999       -94.733        1364.0
    340.988438        82.187      -122.427        1418.6
    340.746058        80.060      -141.660        1473.2
    340.342779        77.261      -153.469        1527.7
    339.784972        74.141      -160.983        1582.3
    339.081453        70.858      -166.103        1636.8
    338.243332        67.482      -169.819        1691.4
    337.283846        64.049      -172.660        1746.0
    336.218137        60.580      -174.925        1800.5
    335.063018        57.086      -176.793        1855.1
    333.836704        53.575      -178.377        1909.6
    332.558519        50.050      -179.753        1964.2
    331.248594        46.516       179.028        2018.8
    329.927549        42.974       177.931        2073.3
    328.616164        39.426       176.929        2127.9
    327.335054        35.873       176.003        2182.5
    326.104347        32.317       175.136        2237.0
    324.943369        28.758       174.317        2291.6
    323.870339        25.196       173.538        2346.1
    322.902087        21.633       172.790        2400.7
    322.053792        18.068       172.067        2455.3
    321.338749        14.502       171.364        2509.8
    320.768159        10.934       170.676        2564.4
    320.350957         7.366       169.999        2618.9
    320.093676         3.798       169.330        2673.5
    320.000343         0.230       168.664        2728.1
    320.072419        -3.339       167.998        2782.6
    320.308775        -6.907       167.328        2837.2
    320.705713       -10.475       166.653        2891.8
    321.257016       -14.043       165.966        2946.3
    321.954053       -17.609       165.265        3000.9
    322.785903       -21.174       164.545        3055.4
    323.739533       -24.738       163.801        3110.0
    324.799992       -28.300       163.026        3164.6
    325.950648       -31.859       162.213        3219.1
    327.173444       -35.416       161.354        3273.7
    328.449183       -38.969       160.435        3328.2
    329.757821       -42.517       159.444        3382.8
    331.078788       -46.060       158.360        3437.4
    332.391306       -49.596       157.159        3491.9
    333.674717       -53.122       155.806        3546.5
    334.908810       -56.635       154.252        3601.1
    336.074137       -60.132       152.426        3655.6
    337.152326       -63.605       150.220        3710.2
    338.126368       -67.043       147.467        3764.7
    338.980890       -70.428       143.887        3819.3
    339.702400       -73.726       138.990        3873.9
    340.279501       -76.873       131.866        3928.4
    340.703075       -79.727       120.762        3983.0
    340.966428       -81.971       102.668        4037.5
    341.065397       -82.991        75.798        4092.1
    340.998418       -82.286        47.754        4146.7
    340.766550       -80.222        27.937        4201.2
    340.373458       -77.453        15.755        4255.8
    339.825354       -74.348         8.035        4310.4
    339.130898       -71.072         2.798        4364.9
    338.301062       -67.701        -0.990        4419.5
    337.348947       -64.271        -3.876        4474.0
    336.289583       -60.804        -6.172        4528.6
    335.139682       -57.312        -8.061        4583.2
    333.917377       -53.801        -9.662        4637.7
    332.641931       -50.277       -11.049        4692.3
    331.333431       -46.743       -12.276        4746.8
    330.012476       -43.202       -13.380        4801.4
    328.699845       -39.654       -14.388        4856.0
    327.416174       -36.102       -15.319        4910.5
    326.181633       -32.546       -16.189        4965.1
    325.015607       -28.987       -17.010        5019.7
    323.936395       -25.426       -17.792        5074.2
    322.960926       -21.862       -18.542        5128.8
    322.104492       -18.297       -19.266        5183.3
    321.380515       -14.731       -19.970        5237.9
    320.800337       -11.164       -20.659        5292.5
    320.373043        -7.596       -21.337        5347.0
    320.105324        -4.028       -22.007        5401.6
    320.001371        -0.459       -22.673        5456.1
    320.062811         3.109       -23.339        5510.7
    320.288682         6.678       -24.008        5565.3
    320.675448        10.246       -24.683        5619.8
    321.217055        13.813       -25.368        5674.4
    321.905020        17.379       -26.068        5728.9
    322.728567        20.945       -26.787        5783.5
    323.674792        24.509       -27.529        5838.1
    324.728862        28.071       -28.302        5892.6
    325.874244        31.630       -29.112        5947.2
    327.092966        35.187       -29.969        6001.8
    328.365894        38.740       -30.883        6056.3
    329.673031        42.289       -31.869        6110.9
    330.993830        45.832       -32.946        6165.4
    332.307516        49.369       -34.138        6220.0
    333.593415        52.895       -35.480        6274.6
    334.831276        56.410       -37.020        6329.1
    336.001594        59.908       -38.826        6383.7
    337.085917        63.382       -41.003        6438.2
    338.067141        66.823       -43.714        6492.8
    338.929780        70.212       -47.229        6547.4
    339.660215        73.517       -52.020        6601.9
    340.246906        76.677       -58.960        6656.5
    340.680586        79.557       -69.730        6711.1
    340.954401        81.855       -87.272        6765.6
    341.064022        82.976      -113.677        6820.2
    341.007716        82.380      -142.027        6874.7
    340.786374        80.382      -162.434        6929.3
    340.403495        77.644      -175.004        6983.9
    339.865129        74.554       177.063        7038.4
    339.179783        71.287       171.704        7093.0
    338.358284        67.920       167.843        7147.5
    337.413604        64.493       164.910        7202.1
    336.360654        61.028       162.583        7256.7
    335.216046        57.537       160.671        7311.2
    333.997830        54.027       159.055        7365.8
    332.725205        50.504       157.655        7420.4
    331.418216        46.971       156.419        7474.9
    330.097437        43.430       155.308        7529.5
    328.783646        39.883       154.295        7584.0
    327.497499        36.331       153.360        7638.6
    326.259203        32.775       152.486        7693.2
    325.088205        29.216       151.662        7747.7
    324.002882        25.655       150.878        7802.3
    323.020259        22.091       150.126        7856.8
    322.155741        18.527       149.401        7911.4
    321.422877        14.960       148.695        7966.0
    320.833149        11.393       148.006        8020.5
    320.395791         7.826       147.328        8075.1
    320.117652         4.257       146.657        8129.7
    320.003085         0.689       145.991        8184.2
    320.053885        -2.880       145.325        8238.8
    320.269255        -6.448       144.656        8293.3
    320.645826       -10.016       143.982        8347.9
    321.177700       -13.584       143.297        8402.5
    321.856549       -17.150       142.598        8457.0
    322.671739       -20.715       141.881        8511.6
    323.610498       -24.279       141.140        8566.1
    324.658110       -27.842       140.369        8620.7
    325.798144       -31.401       139.562        8675.3
    327.012713       -34.958       138.709        8729.8
    328.282747       -38.512       137.799        8784.4
    329.588297       -42.061       136.817        8838.9
    330.908842       -45.605       135.747        8893.5
    332.223611       -49.141       134.563        8948.1
    333.511913       -52.669       133.232        9002.6
    334.753461       -56.184       131.707        9057.2
    335.928693       -59.683       129.921        9111.8
    337.019080       -63.160       127.772        9166.3
    338.007423       -66.603       125.102        9220.9
    338.878123       -69.996       121.649        9275.4
    339.617433       -73.308       116.961        9330.0
    340.213678       -76.480       110.198        9384.6
    340.657435       -79.385        99.750        9439.1
    340.941693       -81.735        82.748        9493.7
    341.061958       -82.954        56.838        9548.2
    341.016329       -82.469        28.231        9602.8
    340.805528       -80.539         7.228        9657.4
    340.432887       -77.833        -5.743        9711.9
    339.904294       -74.759       -13.899        9766.5
    339.228104       -71.500       -19.384        9821.1
    338.414996       -68.139       -23.320        9875.6
    337.477812       -64.715       -26.301        9930.2
    336.431345       -61.252       -28.661        9984.7
    335.292105       -57.762       -30.595       10039.3
    334.078058       -54.254       -32.228       10093.9
    332.808338       -50.731       -33.639       10148.4
    331.502944       -47.198       -34.885       10203.0
    330.182428       -43.658       -36.003       10257.5
    328.867562       -40.111       -37.021       10312.1
    327.579021       -36.559       -37.962       10366.7
